NAME                      INSTALLED   FIXED IN        TYPE          VULNERABILITY        SEVERITY  EPSS          RISK   
rack                      2.2.10      2.2.23          gem           GHSA-q2ww-5357-x388  Medium    0.1% (4th)    < 0.1  
busybox                   1.37.0                      binary        CVE-2024-58251       Low       0.2% (14th)   < 0.1  
busybox                   1.37.0                      nix           CVE-2024-58251       Low       0.2% (14th)   < 0.1  
busybox                   1.37.0                      binary        CVE-2025-46394       Low       0.1% (4th)    < 0.1  
busybox                   1.37.0                      nix           CVE-2025-46394       Low       0.1% (4th)    < 0.1  
concurrent-ruby           1.1.9       1.3.7           gem           GHSA-6wx8-w4f5-wwcr  Low       0.2% (5th)    < 0.1  
concurrent-ruby           1.1.9       1.3.7           gem           GHSA-wv3x-4vxv-whpp  Low       0.1% (1st)    < 0.1  
nokogiri                  1.12.5      1.18.9          gem           GHSA-353f-x4gh-cqq8  Critical  N/A           N/A    
jwt                       2.3.0       2.10.3          gem           GHSA-c32j-vqhx-rx3x  High      N/A           N/A    
nokogiri                  1.12.5      1.19.3          gem           GHSA-c4rq-3m3g-8wgx  High      N/A           N/A    
nokogiri                  1.12.5      1.13.5          gem           GHSA-cgx6-hpwq-fhv5  High      N/A           N/A    
nokogiri                  1.12.5      1.13.2          gem           GHSA-fq42-c5rg-92c2  High      N/A           N/A    
nokogiri                  1.12.5      1.13.4          gem           GHSA-gx8x-g87m-h5q6  High      N/A           N/A    
nokogiri                  1.12.5      1.18.4          gem           GHSA-mrxw-mxhj-p664  High      N/A           N/A    
nokogiri                  1.12.5      1.13.4          gem           GHSA-v6gp-9mmm-c6p5  High      N/A           N/A    
puma                      5.6.9       7.2.1           gem           GHSA-2vqw-3mp8-cgmx  High      N/A           N/A    
puma                      5.6.9       7.2.1           gem           GHSA-qpgp-93vx-g8v8  High      N/A           N/A    
jackson-core              2.9.10      2.18.6          java-archive  GHSA-72hv-8253-57qq  Medium    N/A           N/A    
nokogiri                  1.12.5      1.13.9          gem           GHSA-2qc6-mcvw-92cw  Medium    N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-5prr-v3j2-97mh  Medium    N/A           N/A    
nokogiri                  1.12.5      1.14.3          gem           GHSA-pxvg-2qj5-37jq  Medium    N/A           N/A    
nokogiri                  1.12.5      1.19.3          gem           GHSA-v2fc-qm4h-8hqv  Medium    N/A           N/A    
nokogiri                  1.12.5      1.19.1          gem           GHSA-wx95-c6cv-8532  Medium    N/A           N/A    
nokogiri                  1.12.5      1.15.6          gem           GHSA-xc9x-jj77-9p9j  Medium    N/A           N/A    
nokogiri                  1.12.5      1.13.4          gem           GHSA-xxx9-3xcr-gjj3  Medium    N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-5v8h-3h3q-446p  Low       N/A           N/A    
nokogiri                  1.12.5      1.18.8          gem           GHSA-5w6v-399v-w3cc  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-8678-w3jw-xfc2  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-9cv2-cfxc-v4v2  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-p67v-3w7g-wjg7  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-phwj-rprq-35pp  Low       N/A           N/A    
nokogiri                  1.12.5      1.16.5          gem           GHSA-r95h-9x8f-r3f7  Low       N/A           N/A    
nokogiri                  1.12.5      1.18.3          gem           GHSA-vvfq-8hwr-qm4m  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-wfpw-mmfh-qq69  Low       N/A           N/A    
nokogiri                  1.12.5      1.19.4          gem           GHSA-wjv4-x9w8-wm3h  Low       N/A           N/A
